serial_no,location
024485bb08c527fe2a49f20f1ca278ae,Usera
041eb4f2266780,Chamberí
0426b7f2266781,Barajas
042ab4f2266781,Retiro
0434843ae66181,Villaverde
0448b3f2266781,Retiro
0453b7f2266781,San Blas - Canillejas
0472853ae66181,Salamanca
0480b5f2266780,Barajas
0497b6f2266780,Chamartín
04e1b2f2266780,Salamanca
04ed0348d938b5f7088b06e5ac907f9e,Latina
0557a5a2bcc6505876acced60b506eb5,Puente de Vallecas
062e198a6562e52c73d763230537ec91,Tetuán
063c8603e8ed31b326ca7c7246c6f50f,Salamanca
06b507cc5d2fcb3c558c251928b710d7,Fuencarral-El Pardo
0738786c3947c1583ebf3489a2b71669,Barajas
07eb37d24a2c02a4282acd9dc32da391,Fuencarral-El Pardo
0855c2f7a05bbb460419b62125717b42,Barajas
090e62bf20ad55b5f920058a2a0ae3b1,Latina
0e1263a4d1de208d0d7555f58365c0ae,Retiro
0fd995528d12b1de8409987c46b6b9d5,Centro
12daa34b003ccf617c95be95ca42ef06,Centro
14174f916fe7f61368e4ae0e7fbb214a,Villa de Vallecas
148279a224fc6af09800b9dd0c4da2d9,Tetuán
1728e931bc3b29706446826c62a4a871,Centro
17add3a32409adc135d99e08befec069,Puente de Vallecas
181a1d0442ded115060e1082deb042fc,Centro
18bcde43949ec974610166b0daa77a64,Salamanca
1907625842715cd0cf8f7f2b28baad44,Puente de Vallecas
1abc164451b90a12ddbfff2f292fdc3f,Arganzuela
1aee0b4d92fd120a558ace4b38e100fa,Arganzuela
1b0e83450b85e6ff0b3d0558194c535d,Retiro
1bf46f5da9c3cfc722acdd1d8576c903,Salamanca
1d7a0deb9d9af9eb590b555da80cab9d,Chamberí
1dd61bb59f784fe414f97aa538e3cada,Chamartín
1e8eda02797ddc5d9028f9fbd621ffbb,Tetuán
1ebbcd3417c6bf4014db1c750f1ae3b0,Carabanchel
1f05ae251bacadb1b76491a0590b3a36,Usera
215f8af43cf3b0dfc66a88de0f90d880,Fuencarral-El Pardo
24cd9f3588c5322e1d1f901c436e43a5,Chamartín
25b4108850d593d9dc1042caeada0cc7,Moncloa-Aravaca
27573b02c1da54b59dbbc225fb182bb9,Villaverde
283e6620eb573f912f3aeb9fc71f1c5b,Fuencarral-El Pardo
29ec0d78a02280af276e72a70239e89d,Retiro
29f1daeea8606c29ef24545fc18f6c01,Hortaleza
2a5723be0805ae5f8b71d1d00cff7a39,Retiro
2a5f09ee261a71be294ba4d1c1f476cd,Carabanchel
2b4217bf1dc90a3446fa91a0388476cf,Villaverde
2b4a82994f454c8a220b630206ab1c2a,Salamanca
2c4e8c17e0bdff8fb207e1447e281145,Salamanca
2d556ed5ecb64658f13ba070c84bc61c,Villa de Vallecas
2da7cfecd4aa9a1c193b4f89ae2b0728,Retiro
2de0c1ad90823a8252e8b4fa1cb073e8,Barajas
2e2ab612541be8e652511effa4102bc4,Arganzuela
301e7a142c64f0e35ed999bc1fa05cae,Fuencarral-El Pardo
31b13a5fbe20deb82d03f92686a949ea,Chamartín
32b079661df8368c5c6e7693125dc03f,Carabanchel
33a07e0f807b63f2c3bcbdbb95582093,Moncloa-Aravaca
35a0a9b1738e53eb4db26c488f5cb952,Retiro
35ae55a70daf62041a9c5370d8e942eb,Tetuán
376fe0c15affb2992fde743f8efa7092,Salamanca
37be9ae538babe22bdbea944174fef5b,Salamanca
388370616f6126f7fe147158b304d90b,Arganzuela
3978503e4bd69519a6f68de58d15bb59,Salamanca
3a431509c8915b3760c2609173d28660,Puente de Vallecas
3aaf06be5e893cb16693458194f8c4c3,Moncloa-Aravaca
3ada7243a2326fe97b073a8b13983d7e,Centro
3c9c3e107ccf9a2f0b818992af5b99bc,Moncloa-Aravaca
3d9f07b10ef32dc87fb088a02b03c780,Salamanca
3efc6e1f28aab4e3e60239417f7091e0,Villaverde
3fbe79ce9fe5e346464998eea835af90,Salamanca
3fedfc2f87420414f7d7af8a06cebb06,San Blas - Canillejas
4073c77efd3d5b9ebb26db56d167f78f,Retiro
40b1474ba53b0246334349e4eef5e9c0,Villa de Vallecas
4157fa97588444aaea96914845149216,Arganzuela
4202cf6be8554b974a5a604451d571a4,Retiro
42b92ff0a0cdfb91f57607cef0529706,Villaverde
44bbd2412720be925b405d55525a778a,Carabanchel
4686fee3d9fe0096459be5fa8d9d2ff5,Usera
49f75cba0e8b1c48f60ea7702e693e07,Tetuán
4a269d1c6cc7cd646381bef6cb4bfffa,Fuencarral-El Pardo
4abeb8148ab1edda9ab79839a7736b00,Centro
4cac9e02c4264bb54f7f9a2140a65090,Latina
4d5f89697cae30601bb827083fcdad8e,Centro
4d9a0dd0d60bf15078b835483cab66b4,Ciudad Lineal
4e9f83a438b97c549ce7390cc45a2547,Hortaleza
4ed71f9eecdbdf58f367d999d56348f6,Puente de Vallecas
517b8364905bcede7eca77c503abd0f5,Latina
5256f003e54f1947a0cb9a5ecfb663ce,Latina
534a778b13509ee08131291f316e8f44,Puente de Vallecas
54438d84ba7eba368d56c4f40c1ff690,Carabanchel
54ce37060afc4177579cd88e831ef734,Villaverde
562f5afec71dc5d07f04d0131934af1d,Villaverde
57e8e1a9489d9e535be7bdb0de478b17,Centro
5900f6f07e72d2994c9c5e0fb5ecd57c,Retiro
5a4fff842a6432ddf37ac4d4672359e9,San Blas - Canillejas
5c9407932fd173e17a5fa57df6842b16,Latina
5e7cd354fb75cceb0b0b1df0ddd500c5,San Blas - Canillejas
5f6df9fb1704291a8e354dde1bb0ee71,Centro
60d08a23c2c3af7039880a7810e810f3,Salamanca
60ed092fb90e76a9b557cd12f998811f,Moncloa-Aravaca
61351b9d5a191267b829903c97a89c60,Moncloa-Aravaca
625adbdeaf79687774bd25a148109448,Salamanca
634a8e7c3600e3cb3c7b1a035f4fadfa,Villaverde
