serial_no,location
0428cdeab66181,Østbyen
042ad4eab66181,Østbyen
0433cbeab66180,Lerkendal
0436eaeab66181,Lerkendal
0438d5eab66181,Midtbyen
043fd4eab66180,Klæbu
0444d1eab66180,Midtbyen
0451cceab66181,Lerkendal
0458eaeab66181,Klæbu
0468caeab66181,Heimdal
046fd5eab66180,Heimdal
0471cceab66181,Østbyen
0471d3eab66180,Østbyen
0482e8eab66180,Heimdal
0484c9eab66180,Midtbyen
0485c7eab66180,Midtbyen
0492d0eab66180,Midtbyen
04abd2eab66180,Heimdal
04c7cdeab66180,Lerkendal
04c8ceeab66180,Lerkendal
04f6d0eab66180,Heimdal
095d4b015551d1688cac35650005b489,Lerkendal
115ff95947ae128157efea6021cafd78,Østbyen
12d2f957e1b756145a5300b187aa1832,Midtbyen
1e32386399e10d0a495dcb4d809a2a69,Lerkendal
1e4079d238b88ec19d094d0891544391,Heimdal
1ed2cb15ea4cfd6655cf62c1caf99aa4,Lerkendal
1fc81f9e859c1f1180a53952e1fcd0e5,Lerkendal
24ad1745edac1fbcbe5a2353eafd21bb,Heimdal
26f69a409615aa912789d50a06fc70b3,Østbyen
28b239de6639833bf25cf37f717220ce,Østbyen
37c5e736ddbd08ac8ffee596ef563801,Lerkendal
3b3897b7949d6740bbf5c5cf6d213f69,Lerkendal
3c039a1577cda0c6aa5d14333489e6f7,Østbyen
4b08b82e901eba30bb7fc3708fd4fc9d,Østbyen
4c0cfc6cc055c89211a211a9823120dc,Klæbu
512b96e156e35279c9b1af6a6797bfef,Midtbyen
51fa075713a441cd7fbb6df9eedac5f2,Heimdal
544b4b8aecbc861b2c48aa038a9fd057,Lerkendal
58afa15164d0a83f4282841fa040b9b6,Østbyen
5a74aae40b4bca6e6d95fd300cc8dbf1,Lerkendal
5acd12a41a660759d4351f0fe0809c6d,Østbyen
5f07ea525f79e15e1662e65efdd9fe4a,Østbyen
6319cb03eb973ce3391f0d5954fe0a24,Østbyen
641390557f7906162698c50c34e924e3,Østbyen
679b015282faab6ba8cc2a950ab5198c,Heimdal
698608cbb42bb33aed0ec76245df9069,Østbyen
6a2f1d094dadd6a410a86da141c73644,Heimdal
6e939102b46ba59c70f75e421e1d5137,Lerkendal
6ed25c30d5056384103e4617652bf071,Heimdal
78b3edb823a84cfa3c8f8d327cdef6e6,Lerkendal
7af93e00c9676c90a92a08ae53adf4d1,Klæbu
8a906c87863895b221b15b298fb2cc2b,Heimdal
8fb2445b809164eb00ee66dcc34f2e53,Midtbyen
913c02b867e19d6f8b9bba77ac8bd85b,Lerkendal
925df765ebc3a2239f9a393356cb56a6,Østbyen
92fe6667ce6302a0b46a42ee02f84b0c,Østbyen
9a41fc55730c509813a5e23c4dc79de6,Midtbyen
a212c8d0894b8e43105d771bac768e1c,Heimdal
a26f1ffabed6422358b41383a7c52835,Midtbyen
a8aa62979043e5e89c969b26ba43f86f,Østbyen
b5409c87fafd1e1ebf4a339112428c9e,Lerkendal
b5d7b66cce15421c97b8dc2766e97f5e,Midtbyen
bc70e203ec51c39cf83da151669833d1,Østbyen
be9f7d9c4f6cd25ba8cbc7337185a76d,Lerkendal
c3354e7c68ef21d94a9a04df82d3fb93,Midtbyen
c3d1a4a1f6a7174083762f4604d90f99,Østbyen
c755284a4e9c6c736815eb9ed637205f,Lerkendal
cb9401caa6959f44c00cf8f0ebadc4bf,Lerkendal
cfcfa1c79672ab8f52d7740564d5819a,Lerkendal
e5b173b0088f0f9c107b01fe12b9cf50,Østbyen
e7e18f8cd350eb4e9bd2895af01c5db7,Heimdal
e93231780574bb9c4da309d4e83b93dc,Heimdal
efe204ceb1aa2a9eea5197a1934f100d,Heimdal
fb19b701e97cefbcae7d998399a9239b,Lerkendal
